Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"tin of cat food","1","1","10","74.44","0.00","http://www.whiskas.com/","0.12","0.00","0.00","4510000","1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00","1466953560"
"whiskas senior","1","1","10","53.18","0.00","http://www.whiskas.com/","0.12","0.00","0.00","374000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00","1466970829"
"can cats tell when your pregnant","4","5","70","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.12","0.00","0.01","6110000","0.54,0.12,0.04,0.04,0.08,0.12,0.08,1.00,0.15,0.12,0.12,0.54","1469627456"
"whiskas pate","1","1","10","73.82","1.36","http://www.whiskas.com/Products/Product/roasted-chicken-meaty-juices","0.12","0.13","0.97","92000","0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,1.00,1.00","1466970833"
"whiskas dry food","1","1","10","77.09","1.05","http://www.whiskas.com/","0.12","0.08","0.97","370000","0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1466971434"
"whiskas indoor cat food","1","1","10","78.54","1.57","http://www.whiskas.com/Products/Product/indoor","0.12","0.15","1.00","574000","0.50,0.50,0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50","1466971437"
"whiskas purrfectly fish","4","3","70","75.44","0.28","http://www.whiskas.com/Products/Product/tuna","0.12","0.02","0.99","6000","0.29,0.24,0.29,1.00,0.53,0.29,0.41,0.41,0.29,0.12,0.29,0.29","1469536543"
"whiskas kitten pouches","1","1","10","62.55","0.00","http://www.whiskas.com/Products/Product/chicken-gravy","0.12","0.00","1.00","49000","0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00","1467139633"
"whiskas cat food bulk","1","1","10","70.41","1.62","http://www.whiskas.com/","0.12","0.15","1.00","171000","1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00","1466970830"
"wiskers cat food","1","1","10","69.95","0.00","http://www.whiskas.com/","0.12","0.00","1.00","512000","0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50","1467842678"
"who makes whiskas cat food","1","1","10","81.36","3.13","http://www.whiskas.com/","0.12","0.30","0.95","49000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50","1466971811"
"whiskas dry","1","1","10","70.19","0.47","http://www.whiskas.com/Products/Product/meaty-selections","0.12","0.04","1.00","430000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466971436"
"whiskas pet food","1","1","10","73.78","0.00","http://www.whiskas.com/","0.12","0.00","1.00","402000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1457293767"
"cheap whiskas cat food","1","1","10","77.45","2.27","http://www.whiskas.com/","0.12","0.21","1.00","36000","0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00","1466807701"
"kitten food whiskas","1","1","10","70.14","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.00","97000","0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00","1467411334"
"whiskas ingredients","1","1","10","67.03","2.95","http://www.whiskas.com/Products/Product/indoor","0.12","0.28","0.56","125000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1456744755"
"whiskas cat biscuits","1","1","10","67.46","0.00","http://www.whiskas.com/","0.12","0.00","0.00","435000","0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00","1468035121"
"whiskies cat food","1","1","10","82.05","1.38","http://www.whiskas.com/","0.12","0.13","0.87","498000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466970828"
"whiskas products","1","1","10","60.48","0.38","http://www.whiskas.com/Products","0.12","0.02","1.00","550000","0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00","1466970832"
"whiskas senior cat food","1","1","10","60.17","0.02","http://www.whiskas.com/","0.12","0.00","0.88","74000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00","1466971433"
"whiskas cats","1","1","10","72.45","0.00","http://www.whiskas.com/","0.12","0.00","0.20","477000","1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00","1466971440"
"can cats sense pregnancy in humans","5","0","90","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.12","0.00","0.00","2390000","1.00,0.15,0.27,0.27,0.19,0.19,0.19,0.27,0.35,0.35,0.35,0.35","1468585209"
"whiskas cat food pouches","1","1","10","75.83","1.47","http://www.whiskas.com/Products/Product/chicken-gravy","0.12","0.13","1.00","63000","0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,1.00","1466971432"
"whiskas food","1","1","10","65.54","1.32","http://www.whiskas.com/","0.12","0.13","0.92","403000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50","1466970830"
"whiskas cat","3","3","50","67.59","1.63","http://www.whiskas.com/Products/Product/indoor","0.12","0.15","0.42","405000","0.33,0.44,0.44,0.44,0.56,0.33,0.33,0.56,0.78,1.00,0.78,0.56","1469669883"
"whiskas dry kitten food","1","1","10","72.70","7.98","http://www.whiskas.com/Products/Product/kitten","0.12","0.80","1.00","67000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00","1466970826"
"weaning kittens","16","15","880","78.33","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.12","0.00","0.04","327000","0.24,0.62,1.00,1.00,0.62,0.62,0.62,0.55,0.37,0.16,0.11,0.11","1469566138"
"www.whiskas.com","1","1","10","60.22","0.77","http://www.whiskas.com/","0.12","0.06","0.90","463000","0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1465799655"
"whiskas for kittens","1","1","10","69.79","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.55","131000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466970829"
"whiskas cat food online","1","1","10","78.82","1.47","http://www.whiskas.com/","0.12","0.13","1.00","441000","0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00","1466970833"
"whiskas junior","1","1","10","67.38","0.00","http://www.whiskas.com/","0.12","0.00","0.71","188000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1467801186"
"whiskers kitten food","1","1","10","71.32","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.00","95000","0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00","1467571424"
"whiskas kitten dry food","1","1","10","69.73","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.00","124000","1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00","1467874498"
"whiskas cat food offers","1","1","10","74.17","0.00","http://www.whiskas.com/","0.12","0.00","0.00","439000","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00","1466970828"
"whiskas pouch","1","1","10","67.04","2.00","http://www.whiskas.com/Products/Product/chicken-gravy","0.12","0.19","0.99","193000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466970830"
"whiskers cat","7","6","90","77.49","0.00","http://www.whiskas.com/","0.09","0.00","0.02","504000","0.50,0.64,0.36,0.50,0.50,0.64,0.64,1.00,0.79,0.50,0.50,0.50","1468627819"
"can animals tell when you re pregnant","6","7","70","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.09","0.00","0.01","2440000","0.81,0.05,0.10,0.05,0.24,0.43,0.05,0.10,0.10,0.05,0.67,1.00","1469612118"
"can pets sense pregnancy","5","0","70","81.97","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.09","0.00","0.00","4130000","0.50,0.36,0.21,0.64,1.00,0.79,0.50,0.50,0.50,0.79,0.64,0.21","1469616625"
